id,situacao,loja,pedido,valor do pedido,cidade,logistica,data,entrada,vendedor,tranferencia,faturamento,data/hora faturamento,unnamed: 13,responsavel,saida,entregue data,entregue hora,pedidos para entregar: 696,pgt entrega?,observação,veículo,recolheu,hora recolhida,valor_numerico
3605,NORMAL,NLC,8507254,"R$ 1.437,00",INDEPENDENCIA,ENTREGUE,2026-08-17,12:56:00,GEISI,Transferido,Faturado,17/08/2026 15:23:43,,VICTOR,,20/08/26,11:42,,,,(N) ACELLO 815 156 CV,,,1437.0
3608,NORMAL,HC,12609442,"R$ 200,00",INDEPENDENCIA,ENTREGUE,2026-08-17,15:02:00,CAMILA,Transferido,Faturado,17/08/2026 15:02:33,,VICTOR,,20/08/26,12:39,,,,(N) ACELLO 815 156 CV,FELIPE,17/08/2026 16:42:59,200.0
3609,NORMAL,NLC,8507257,"R$ 2.183,00",INDEPENDENCIA,ENTREGUE,2026-08-17,15:16:00,GEISI,Transferido,Faturado,17/08/2026 15:25:45,,VICTOR,,20/08/26,10:43,,,,(N) ACELLO 815 156 CV,,,2183.0
3610,NORMAL,NLC,8507259,"R$ 585,00",INDEPENDENCIA,ENTREGUE,2026-08-17,15:34:00,GEISI,Transferido,Faturado,17/08/2026 15:55:15,,VICTOR,,20/08/26,10:44,,,,(N) ACELLO 815 156 CV,,,585.0
3615,NORMAL,HC,12609422,"R$ 884,00",PORANGA,ENTREGUE,2026-08-17,17:21:00,MASCILON,Transferido,Faturado,17/08/2026 17:22:11,,,,,,,,,,FELIPE,18/08/2026 17:29:36,884.0
3616,NORMAL,HC,12609444,"R$ 945,00",PORANGA,ENTREGUE,2026-08-17,17:49:00,LEONARDO,Transferido,Faturado,17/08/2026 17:53:01,,VICTOR,,27/08/26,15:11,,,,(N) ACELLO 815 156 CV,FELIPE,18/08/2026 09:07:24,945.0
3617,URGENTE,HC,12609420,"R$ 308,90",IPAPORANGA,ENTREGUE,2026-08-17,07:30:00,LEONARDO,Transferido,Faturado,18/08/2026 07:34:18,,,,,,,,,,FELIPE,18/08/2026 17:28:34,308.9
3624,NORMAL,HC,12609476,"R$ 3.140,76",REALEJO,ENTREGUE,2026-08-18,09:31:00,CAMILA,Transferido,Faturado,18/08/2026 09:35:16,,FELIPE,,28/08/26,10:45,,,,ACELLO 815 156 CV,FELIPE,18/08/2026 17:27:21,3140.76
3629,URGENTE,HC,12609487,"R$ 215,00",INDEPENDENCIA,ENTREGUE,2026-08-18,10:12:00,CAMILA,Transferido,Faturado,18/08/2026 10:15:57,,VICTOR,,20/08/26,12:41,,,,(N) ACELLO 815 156 CV,FELIPE,18/08/2026 11:31:35,215.0
3632,NORMAL,NLC,8507268,"R$ 1.415,00",INDEPENDENCIA,ENTREGUE,2026-08-18,11:10:00,GEISI,Transferido,Faturado,18/08/2026 11:31:25,,VICTOR,,20/08/26,10:46,,,,(N) ACELLO 815 156 CV,,,1415.0
3635,URGENTE,HC,12609505,"R$ 1.180,41",TAMBORIL,ENTREGUE,2026-08-18,11:27:00,MASCILON,Transferido,Faturado,18/08/2026 11:27:15,,,,,,,,,,FELIPE,18/08/2026 11:29:41,1180.41
3636,URGENTE,HC,12609491,"R$ 1.149,80",IPAPORANGA,ENTREGUE,2026-08-18,11:28:00,LEONARDO,Transferido,Faturado,18/08/2026 11:29:14,,JULIO,,21/08/26,10:48,,,,KIA BONGO,FELIPE,18/08/2026 11:29:43,1149.8
3642,CARRO HORARIO,HC,12609547,"R$ 1.224,25",MONTE NEBO,ENTREGUE,2026-08-18,15:47:00,CAMILA,Transferido,Faturado,18/08/2026 15:48:07,,JULIO,,19/08/26,08:52,,,,KIA BONGO,FELIPE,18/08/2026 17:25:38,1224.25
3643,NORMAL,HC,12609492,"R$ 22.976,00",BURITI DOS MONTES,ENTREGUE,2026-08-18,15:49:00,CAMILA,Transferido,Faturado,18/08/2026 15:52:38,,VICTOR,,09/09/26,11:32,,,,(N) ACELLO 815 156 CV,FELIPE,18/08/2026 17:25:16,22976.0
3676,NORMAL,HC,12609639,"R$ 1.467,00",INDEPENDENCIA,ENTREGUE,2026-08-19,17:12:00,CAMILA,Transferido,Faturado,19/08/2026 17:12:27,,VICTOR,,20/08/26,12:39,,,,(N) ACELLO 815 156 CV,FELIPE,20/08/2026 11:05:59,1467.0
3680,URGENTE,NLC,8507295,"R$ 441,49",INDEPENDENCIA,ENTREGUE,2026-08-20,08:06:00,GEISI,Transferido,Faturado,20/08/2026 08:52:59,,,,,,,,,,,,441.49
3709,NORMAL,HC,12609664,"R$ 8.760,15",INDEPENDENCIA,ENTREGUE,2026-08-20,17:45:00,LIMA,Transferido,Faturado,20/08/2026 17:49:29,,VICTOR,,28/08/26,11:09,,,,(N) ACELLO 815 156 CV,,,8760.15
3738,NORMAL,HC,12609808,"R$ 836,56",VILA GRACA,ENTREGUE,2026-08-21,17:06:00,LIMA,Transferido,Faturado,21/08/2026 17:07:25,,,,,,,,,,FELIPE,24/08/2026 11:07:26,836.56
3741,NORMAL,HC,12609790,"R$ 4.180,47",INDEPENDENCIA,ENTREGUE,2026-08-21,17:37:00,MASCILON,Transferido,Faturado,21/08/2026 17:40:52,,VICTOR,,28/08/26,11:46,,,,(N) ACELLO 815 156 CV,FELIPE,24/08/2026 11:07:11,4180.47
3744,NORMAL,HC,12609829,"R$ 516,90",IPAPORANGA,ENTREGUE,2026-08-22,08:18:00,LIMA,Transferido,Faturado,22/08/2026 08:27:59,,,,,,,,,,FELIPE,24/08/2026 11:06:05,516.9
3746,NORMAL,NLC,8507336,"R$ 1.123,00",IPAPORANGA,ENTREGUE,2026-08-22,09:50:00,GEISI,Transferido,Faturado,22/08/2026 11:46:44,,JULIO,,25/08/26,11:43,,,,KIA BONGO,,,1123.0
3753,NORMAL,NLC,8507328,"R$ 2.035,50",IPAPORANGA,ENTREGUE,2026-08-22,11:24:00,GEISI,Transferido,Faturado,22/08/2026 11:48:22,,VICTOR,,27/08/26,09:42,,,,(N) ACELLO 815 156 CV,,,2035.5
3756,CARRO HORARIO,NLC,8507351,"R$ 160,00",MONTE NEBO,ENTREGUE,2026-08-24,07:43:00,GEISI,Transferido,Faturado,24/08/2026 08:01:01,,,,,,,,,,,,160.0
3768,NORMAL,HC,12609915,"R$ 828,00",INDEPENDENCIA,ENTREGUE,2026-08-24,10:37:00,MIKHAELL,Transferido,Faturado,24/08/2026 10:40:05,,VICTOR,,28/08/26,12:04,,,,(N) ACELLO 815 156 CV,FELIPE,24/08/2026 11:01:06,828.0
3785,NORMAL,NLC,8507373,"R$ 2.998,20",NOVA RUSSAS,AGENDADA,2026-08-24,15:54:00,GEISI,Transferido,Faturado,24/08/2026 15:54:23,,,,,,,,,,,,2998.2
3803,NORMAL,HC,12609845,"R$ 13.708,84",REALEJO,ENTREGUE,2026-08-25,10:55:00,LEONARDO,Transferido,Faturado,25/08/2026 10:55:19,,,,,,,,Faltou 1 cx Gioia oro(quebrada),,FELIPE,26/08/2026 09:02:18,13708.84
3807,NORMAL,SGE,035784,"R$ 268,90",REALEJO,ENTREGUE,2026-08-25,11:31:00,LEONARDO,Transferido,Faturado,25/08/2026 11:31:20,,,,,,,,,,FELIPE,26/08/2026 09:02:04,268.9
